,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
0,17:02:00,Monday,18-30,Male,Above high school,"(1, 2)",Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,Moving Backward,Slight
1,17:02:00,Monday,31-50,Male,Junior high school,> 10,Public,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight
2,17:02:00,Monday,18-30,Male,Junior high school,"(1, 2)",Lorry,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Changing lane to the left,Serious
3,01:06:00,Sunday,18-30,Male,Junior high school,"(5, 10)",Public,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight
4,01:06:00,Sunday,18-30,Male,Junior high school,"(2, 5)",Automobile, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Overtaking,Slight
5,14:15:00,Friday,31-50,Male,Junior high school,unknown,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Overloading,Slight
6,17:30:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Other,Slight
7,17:20:00,Friday,18-30,Male,Junior high school,"(2, 5)",Automobile,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,No priority to vehicle,Slight
8,17:20:00,Friday,18-30,Male,Junior high school,> 10,Lorry, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Changing lane to the right,Slight
9,17:20:00,Friday,18-30,Male,Junior high school,"(1, 2)",Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Moving Backward,Serious
10,14:40:00,Saturday,18-30,Male,Above high school,"(1, 2)",Public,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,Changing lane to the left,Serious
11,14:40:00,Saturday,31-50,Male,Above high school,No Licence,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,No priority to pedestrian,Serious
12,17:45:00,Thursday,18-30,Male,Junior high school,"(1, 2)",Public,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,No distancing,Slight
13,17:45:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Lorry,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,No priority to vehicle,Slight
14,17:45:00,Thursday,31-50,Male,Junior high school,> 10,Automobile,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,No distancing,Serious
